Date,Open,High,Low,Close,Adj Close,Volume
1994-11-17,10.875,11.0,10.875,11.0,2.515601634979248,14600
1994-11-18,10.875,10.875,10.625,10.625,2.429842233657837,3500
1994-11-21,10.75,10.75,10.125,10.125,2.315497398376465,25500
1994-11-22,10.125,10.25,10.125,10.25,2.344083786010742,8000
1994-11-23,10.25,10.375,10.25,10.375,2.372669219970703,34000
1994-11-25,10.5,10.5,10.5,10.5,2.4012560844421387,6000
1994-11-28,10.5,10.5,10.5,10.5,2.4012560844421387,4000
1994-11-29,10.5,10.75,10.5,10.75,2.4584288597106934,7900
1994-11-30,10.875,11.25,10.875,11.125,2.5441877841949463,48700
1994-12-01,11.0,11.0,10.875,10.875,2.48701548576355,9000
1994-12-02,10.75,11.125,10.75,11.0,2.515601634979248,139600
1994-12-05,11.0,11.0,10.75,10.75,2.4584288597106934,14400
1994-12-06,10.625,10.625,10.5,10.625,2.429842233657837,12500
1994-12-07,10.25,10.5,10.25,10.375,2.372669219970703,109500
1994-12-08,10.25,10.25,10.25,10.25,2.344083786010742,100
1994-12-09,10.0,10.25,10.0,10.0,2.286910057067871,83200
1994-12-12,10.125,10.125,10.0,10.125,2.315497398376465,56300
1994-12-13,10.125,10.25,10.0,10.25,2.344083786010742,115000
1994-12-14,10.125,10.25,10.125,10.25,2.344083786010742,60800
1994-12-15,10.25,10.5,10.25,10.5,2.4012560844421387,29000
1994-12-16,10.375,10.875,10.375,10.625,2.429842233657837,52000
1994-12-19,10.625,10.625,10.625,10.625,2.429842233657837,25500
1994-12-20,10.375,10.375,10.25,10.25,2.344083786010742,8000
1994-12-21,10.0,10.0,9.0,9.75,2.2297377586364746,107200
1994-12-22,9.125,9.625,8.875,9.5,2.172565221786499,212700
1994-12-23,9.625,10.0,9.625,9.875,2.258324146270752,20000
1994-12-27,9.625,9.625,9.125,9.125,2.086806297302246,70500
1994-12-28,9.125,9.125,8.875,9.0,2.0582194328308105,33200
1994-12-29,9.25,9.375,8.75,9.25,2.1153922080993652,91000
1994-12-30,9.375,9.5,9.375,9.375,2.1439785957336426,3000
1995-01-03,9.25,9.25,9.0,9.25,2.1153922080993652,51400
1995-01-04,9.25,9.375,8.75,9.0,2.0582194328308105,48900
1995-01-05,8.875,9.0,8.75,8.75,2.001046895980835,49200
1995-01-06,8.875,8.875,8.75,8.75,2.001046895980835,70300
1995-01-09,8.75,8.75,8.5,8.5,1.9438741207122803,69200
1995-01-10,8.25,8.25,7.5,7.625,1.743768572807312,100600
1995-01-11,7.75,8.0,7.25,8.0,1.8295280933380127,247900
1995-01-12,8.25,9.125,8.25,8.75,2.001046895980835,185100
1995-01-13,8.875,9.0,8.625,8.875,2.029632806777954,49800
1995-01-16,8.75,8.875,8.625,8.875,2.029632806777954,20100
1995-01-17,8.875,9.0,8.75,9.0,2.0582194328308105,72600
1995-01-18,9.0,9.0,8.75,8.875,2.029632806777954,31500
1995-01-19,8.125,8.375,8.125,8.25,1.8867011070251465,33000
1995-01-20,8.25,8.375,8.25,8.375,1.9152873754501343,19700
1995-01-23,8.375,8.375,8.25,8.25,1.8867011070251465,20000
1995-01-24,8.375,8.625,8.375,8.5,1.9438741207122803,39600
1995-01-25,8.5,8.625,8.5,8.625,1.9724606275558472,2500
1995-01-26,8.75,8.75,8.75,8.75,2.001046895980835,20300
1995-01-27,8.75,8.75,8.375,8.375,1.9152873754501343,46500
1995-01-30,8.25,8.25,8.0,8.0,1.8295280933380127,59300
1995-01-31,8.25,8.375,8.0,8.25,1.8867011070251465,54900
1995-02-01,8.75,8.75,8.625,8.75,2.001046895980835,16500
1995-02-02,8.625,8.75,8.5,8.75,2.001046895980835,40700
1995-02-03,8.875,9.25,8.75,9.25,2.1153922080993652,364600
1995-02-06,9.0,9.0,8.875,8.875,2.029632806777954,49200
1995-02-07,9.0,9.0,8.875,8.875,2.029632806777954,46500
1995-02-08,8.75,8.75,8.375,8.5,1.9438741207122803,89700
1995-02-09,8.5,8.5,8.0,8.0,1.8295280933380127,85100
1995-02-10,8.375,8.375,7.75,7.875,1.800941824913025,88400
1995-02-13,7.875,8.0,7.625,7.875,1.800941824913025,71600
1995-02-14,8.0,8.0,7.5,7.75,1.7723556756973267,161500
1995-02-15,7.625,7.75,7.5,7.625,1.743768572807312,114200
1995-02-16,7.625,7.625,7.375,7.625,1.743768572807312,52800
1995-02-17,8.0,8.75,8.0,8.75,2.001046895980835,105700
1995-02-21,8.75,8.75,8.25,8.375,1.9152873754501343,42700
1995-02-22,8.25,8.25,8.0,8.25,1.8867011070251465,116100
1995-02-23,8.5,8.5,8.375,8.375,1.9152873754501343,54100
1995-02-24,8.375,8.625,8.25,8.5,1.9438741207122803,126700
1995-02-27,8.5,8.5,8.375,8.375,1.9152873754501343,43400
1995-02-28,8.5,8.75,8.5,8.625,1.9724606275558472,347200
1995-03-01,8.75,8.75,8.0,8.125,1.8581146001815796,57900
1995-03-02,8.25,8.25,7.125,7.25,1.6580101251602173,182100
1995-03-03,7.375,7.75,6.5,7.0,1.6008373498916626,291700
1995-03-06,7.25,7.5,7.25,7.25,1.6580101251602173,98700
1995-03-07,7.25,7.25,6.75,6.875,1.5722510814666748,289500
1995-03-08,7.0,7.0,6.75,7.0,1.6008373498916626,185300
1995-03-09,7.5,7.5,6.875,7.25,1.6580101251602173,252200
1995-03-10,7.625,7.75,7.5,7.625,1.743768572807312,255700
1995-03-13,7.75,8.375,7.75,8.375,1.9152873754501343,137300
1995-03-14,8.5,9.125,8.5,8.875,2.029632806777954,169500
1995-03-15,8.25,8.625,8.25,8.375,1.9152873754501343,68000
1995-03-16,8.375,8.75,8.375,8.75,2.001046895980835,50100
1995-03-17,8.625,8.625,8.125,8.625,1.9724606275558472,83500
1995-03-20,8.5,8.625,8.125,8.625,1.9724606275558472,70500
1995-03-21,8.875,8.875,8.5,8.5,1.9438741207122803,176600
1995-03-22,8.625,9.0,8.375,8.375,1.9152873754501343,199400
1995-03-23,8.375,8.625,8.375,8.5,1.9438741207122803,109000
1995-03-24,8.625,9.0,8.5,8.875,2.029632806777954,262100
1995-03-27,9.0,9.25,9.0,9.125,2.086806297302246,130000
1995-03-28,9.25,9.25,9.0,9.125,2.086806297302246,144400
1995-03-29,9.25,9.25,9.0,9.125,2.086806297302246,83700
