Date,Open,High,Low,Close,Adj Close,Volume
1989-09-26,0.0,8.25,7.5,8.125,0.3253771662712097,2322600
1989-09-27,0.0,8.375,7.875,8.25,0.3303830325603485,812400
1989-09-28,0.0,9.0625,8.5,9.0,0.36041784286499023,964400
1989-09-29,0.0,9.125,8.6875,8.6875,0.3479032516479492,401200
1989-10-02,0.0,9.1875,8.8125,9.125,0.36542370915412903,277200
1989-10-03,0.0,9.8125,9.1875,9.3125,0.3729323148727417,546800
1989-10-04,0.0,9.4375,9.25,9.375,0.3754355013370514,279200
1989-10-05,0.0,9.4375,9.0,9.125,0.36542370915412903,182600
1989-10-06,0.0,9.25,8.875,9.0,0.36041784286499023,193400
1989-10-09,0.0,9.0625,8.875,9.0,0.36041784286499023,52200
1989-10-10,0.0,9.0625,8.25,8.6875,0.3479032516479492,340400
1989-10-11,0.0,8.75,8.4375,8.5,0.3403945565223694,69600
1989-10-12,0.0,8.625,8.25,8.3125,0.33288586139678955,98000
1989-10-13,0.0,8.3125,7.5625,7.5625,0.3028511106967926,142600
1989-10-16,0.0,8.3125,6.875,8.3125,0.33288586139678955,364200
1989-10-17,0.0,8.3125,7.875,8.0625,0.32287439703941345,211000
1989-10-18,0.0,8.375,7.9375,8.375,0.3353888988494873,90800
1989-10-19,0.0,8.5625,8.375,8.5,0.3403945565223694,68200
1989-10-20,0.0,9.125,8.6875,8.8125,0.3529090881347656,83800
1989-10-23,0.0,8.8125,8.5625,8.5625,0.34289759397506714,27800
1989-10-24,0.0,8.5,8.0625,8.1875,0.3278801739215851,112600
1989-10-25,0.0,8.3125,8.1875,8.1875,0.3278801739215851,77600
1989-10-26,0.0,8.125,7.75,7.75,0.310359925031662,22800
1989-10-27,0.0,7.875,7.6875,7.75,0.310359925031662,43400
1989-10-30,0.0,7.9375,7.75,7.9375,0.31786856055259705,25400
1989-10-31,0.0,7.9375,7.75,7.9375,0.31786856055259705,57400
1989-11-01,0.0,8.0,7.875,8.0,0.3203714191913605,58200
1989-11-02,0.0,8.0,8.0,8.0,0.3203714191913605,1200
1989-11-03,0.0,7.9375,7.75,7.875,0.31536558270454407,18200
1989-11-06,0.0,7.875,7.3125,7.3125,0.29283949732780457,116000
1989-11-07,0.0,7.25,7.125,7.125,0.28533074259757996,231800
1989-11-08,0.0,7.375,7.125,7.375,0.2953423261642456,185400
1989-11-09,0.0,7.8125,7.5,7.5625,0.3028511106967926,171800
1989-11-10,0.0,7.8125,7.5625,7.8125,0.3128628432750702,30000
1989-11-13,0.0,7.875,7.6875,7.6875,0.3078569769859314,45400
1989-11-14,0.0,7.75,7.75,7.75,0.310359925031662,10800
1989-11-15,0.0,7.8125,7.6875,7.6875,0.3078569769859314,38400
1989-11-16,0.0,7.75,7.75,7.75,0.310359925031662,4800
1989-11-17,0.0,7.75,7.625,7.6875,0.3078569769859314,17800
1989-11-20,0.0,7.75,7.6875,7.75,0.310359925031662,46200
1989-11-21,0.0,7.9375,7.6875,7.875,0.31536558270454407,88600
1989-11-22,0.0,7.8125,7.6875,7.75,0.310359925031662,60600
1989-11-24,0.0,7.8125,7.6875,7.6875,0.3078569769859314,9000
1989-11-27,0.0,7.5625,7.4375,7.5,0.3003481328487396,39000
1989-11-28,0.0,7.5,7.4375,7.4375,0.29784536361694336,19600
1989-11-29,0.0,7.4375,7.25,7.25,0.2903364598751068,76000
