Date,Open,High,Low,Close,Adj Close,Volume
1997-01-29,5.1875,5.75,5.1875,5.5,3.5235071182250977,9702000
1997-01-30,5.53125,5.75,5.53125,5.65625,3.6236085891723633,1916000
1997-01-31,5.59375,5.625,5.375,5.4375,3.4834682941436768,554400
1997-02-03,5.4375,5.5,5.4375,5.46875,3.5034873485565186,298000
1997-02-04,5.5625,5.5625,5.40625,5.4375,3.4834682941436768,162000
1997-02-05,5.46875,5.53125,5.40625,5.46875,3.5034873485565186,272400
1997-02-06,5.5,5.71875,5.5,5.6875,3.643627166748047,112400
1997-02-07,5.75,5.9375,5.75,5.9375,3.8037874698638916,208400
1997-02-10,5.9375,5.9375,5.59375,5.625,3.6035876274108887,361600
1997-02-11,5.5625,5.6875,5.5,5.625,3.6035876274108887,176000
1997-02-12,5.625,5.6875,5.5625,5.65625,3.6236085891723633,45600
1997-02-13,5.65625,5.71875,5.65625,5.6875,3.643627166748047,172000
1997-02-14,5.71875,5.84375,5.71875,5.75,3.6836695671081543,213600
1997-02-18,5.75,5.78125,5.71875,5.71875,3.663647413253784,191200
1997-02-19,5.75,5.78125,5.75,5.75,3.6836695671081543,28800
1997-02-20,5.75,5.8125,5.75,5.75,3.6836695671081543,132800
1997-02-21,5.75,5.78125,5.71875,5.75,3.6836695671081543,95600
1997-02-24,5.9375,6.15625,5.9375,6.09375,3.903886079788208,281200
1997-02-25,6.0625,6.375,6.03125,6.375,4.084066867828369,251600
1997-02-26,6.4375,6.625,6.25,6.25,4.003987789154053,366800
1997-02-27,6.25,6.28125,6.125,6.125,3.9239070415496826,70400
1997-02-28,6.125,6.125,5.96875,5.96875,3.8238065242767334,96000
1997-03-03,5.96875,5.96875,5.78125,5.78125,3.703687906265259,15200
1997-03-04,5.75,5.75,5.5,5.5,3.5235071182250977,170800
1997-03-05,5.46875,5.5,5.4375,5.5,3.5235071182250977,100400
1997-03-06,5.5,5.5,5.375,5.375,3.4434285163879395,156000
1997-03-07,5.4375,5.46875,5.375,5.40625,3.4634487628936768,54400
1997-03-10,5.4375,5.53125,5.375,5.375,3.4434285163879395,252800
1997-03-11,5.3125,5.3125,5.125,5.125,3.2832674980163574,59600
1997-03-12,5.09375,5.09375,4.9375,5.0,3.203190565109253,227600
1997-03-13,4.96875,4.96875,4.90625,4.90625,3.1431286334991455,278400
1997-03-14,5.0,5.125,5.0,5.125,3.2832674980163574,289600
1997-03-17,5.15625,5.1875,5.15625,5.1875,3.3233067989349365,7600
1997-03-18,5.21875,5.375,5.1875,5.3125,3.4033870697021484,39600
1997-03-19,5.34375,5.34375,5.0625,5.0625,3.2432284355163574,296800
1997-03-20,5.09375,5.09375,5.0625,5.0625,3.2432284355163574,108800
1997-03-21,5.09375,5.09375,5.0,5.0,3.203190565109253,72400
1997-03-24,4.9375,4.9375,4.59375,4.59375,2.942929983139038,145600
1997-03-25,4.53125,4.53125,4.125,4.25,2.7227108478546143,482800
1997-03-26,4.3125,4.40625,4.21875,4.21875,2.702691078186035,282800
