Date,Open,High,Low,Close,Adj Close,Volume
1997-01-29,5.1875,5.75,5.1875,5.5,3.701460361480713,9702000
1997-01-30,5.53125,5.75,5.53125,5.65625,3.80661678314209,1916000
1997-01-31,5.59375,5.625,5.375,5.4375,3.6593987941741943,554400
1997-02-03,5.4375,5.5,5.4375,5.46875,3.6804301738739014,298000
1997-02-04,5.5625,5.5625,5.40625,5.4375,3.6593987941741943,162000
1997-02-05,5.46875,5.53125,5.40625,5.46875,3.6804301738739014,272400
1997-02-06,5.5,5.71875,5.5,5.6875,3.8276469707489014,112400
1997-02-07,5.75,5.9375,5.75,5.9375,3.995896100997925,208400
1997-02-10,5.9375,5.9375,5.59375,5.625,3.7855842113494873,361600
1997-02-11,5.5625,5.6875,5.5,5.625,3.7855842113494873,176000
1997-02-12,5.625,5.6875,5.5625,5.65625,3.80661678314209,45600
1997-02-13,5.65625,5.71875,5.65625,5.6875,3.8276469707489014,172000
1997-02-14,5.71875,5.84375,5.71875,5.75,3.8697102069854736,213600
1997-02-18,5.75,5.78125,5.71875,5.71875,3.848679780960083,191200
1997-02-19,5.75,5.78125,5.75,5.75,3.8697102069854736,28800
1997-02-20,5.75,5.8125,5.75,5.75,3.8697102069854736,132800
1997-02-21,5.75,5.78125,5.71875,5.75,3.8697102069854736,95600
1997-02-24,5.9375,6.15625,5.9375,6.09375,4.1010518074035645,281200
1997-02-25,6.0625,6.375,6.03125,6.375,4.29033088684082,251600
1997-02-26,6.4375,6.625,6.25,6.25,4.20620584487915,366800
1997-02-27,6.25,6.28125,6.125,6.125,4.122081756591797,70400
1997-02-28,6.125,6.125,5.96875,5.96875,4.016926288604736,96000
1997-03-03,5.96875,5.96875,5.78125,5.78125,3.8907392024993896,15200
1997-03-04,5.75,5.75,5.5,5.5,3.701460361480713,170800
1997-03-05,5.46875,5.5,5.4375,5.5,3.701460361480713,100400
1997-03-06,5.5,5.5,5.375,5.375,3.617338180541992,156000
1997-03-07,5.4375,5.46875,5.375,5.40625,3.638369083404541,54400
1997-03-10,5.4375,5.53125,5.375,5.375,3.617338180541992,252800
1997-03-11,5.3125,5.3125,5.125,5.125,3.449089288711548,59600
